YEAR,GEO,CATEGORY,TRADE,VALUE
2018-01-01,New Brunswick,Aircraft and other transportation equipment and parts,Export,22703000.0
2018-01-01,New Brunswick,All sections,Export,11402024400.0
2018-01-01,New Brunswick,"Basic and industrial chemical, plastic and rubber products",Export,3656611400.0
2018-01-01,New Brunswick,Consumer goods,Export,754086200.0
2018-01-01,New Brunswick,Electronic and electrical equipment and parts,Export,40328900.0
2018-01-01,New Brunswick,Energy products,Export,3655028400.0
2018-01-01,New Brunswick,"Farm, fishing and intermediate food products",Export,1155300400.0
2018-01-01,New Brunswick,Forestry products and building and packaging materials,Export,1601312700.0
2018-01-01,New Brunswick,"Industrial machinery, equipment and parts",Export,112899100.0
2018-01-01,New Brunswick,Metal and non-metallic mineral products,Export,220885000.0
2018-01-01,New Brunswick,Metal ores and non-metallic minerals,Export,62754900.0
2018-01-01,New Brunswick,Motor vehicles and parts,Export,52786200.0
2018-01-01,New Brunswick,Special transactions trade,Export,67328300.0
2018-01-01,Newfoundland and Labrador,Aircraft and other transportation equipment and parts,Export,2901500.0
2018-01-01,Newfoundland and Labrador,All sections,Export,6370180000.0
2018-01-01,Newfoundland and Labrador,"Basic and industrial chemical, plastic and rubber products",Export,384023500.0
2018-01-01,Newfoundland and Labrador,Consumer goods,Export,89782700.0
2018-01-01,Newfoundland and Labrador,Electronic and electrical equipment and parts,Export,6108600.0
2018-01-01,Newfoundland and Labrador,Energy products,Export,5249540100.0
2018-01-01,Newfoundland and Labrador,"Farm, fishing and intermediate food products",Export,374799600.0
2018-01-01,Newfoundland and Labrador,Forestry products and building and packaging materials,Export,89011600.0
2018-01-01,Newfoundland and Labrador,"Industrial machinery, equipment and parts",Export,3191800.0
2018-01-01,Newfoundland and Labrador,Metal and non-metallic mineral products,Export,117969700.0
2018-01-01,Newfoundland and Labrador,Metal ores and non-metallic minerals,Export,7342000.0
2018-01-01,Newfoundland and Labrador,Motor vehicles and parts,Export,1669600.0
2018-01-01,Newfoundland and Labrador,Special transactions trade,Export,43839200.0
2018-01-01,Northwest Territories,Aircraft and other transportation equipment and parts,Export,18300.0
2018-01-01,Northwest Territories,All sections,Export,892500.0
2018-01-01,Northwest Territories,"Basic and industrial chemical, plastic and rubber products",Export,500.0
2018-01-01,Northwest Territories,Consumer goods,Export,211800.0
2018-01-01,Northwest Territories,Electronic and electrical equipment and parts,Export,62800.0
2018-01-01,Northwest Territories,Energy products,Export,0.0
2018-01-01,Northwest Territories,"Farm, fishing and intermediate food products",Export,0.0
2018-01-01,Northwest Territories,Forestry products and building and packaging materials,Export,20600.0
2018-01-01,Northwest Territories,"Industrial machinery, equipment and parts",Export,72500.0
2018-01-01,Northwest Territories,Metal and non-metallic mineral products,Export,270000.0
2018-01-01,Northwest Territories,Metal ores and non-metallic minerals,Export,0.0
2018-01-01,Northwest Territories,Motor vehicles and parts,Export,0.0
2018-01-01,Northwest Territories,Special transactions trade,Export,235900.0
2018-01-01,Nova Scotia,Aircraft and other transportation equipment and parts,Export,34728900.0
2018-01-01,Nova Scotia,All sections,Export,3614973100.0
2018-01-01,Nova Scotia,"Basic and industrial chemical, plastic and rubber products",Export,277413900.0
2018-01-01,Nova Scotia,Consumer goods,Export,529561900.0
2018-01-01,Nova Scotia,Electronic and electrical equipment and parts,Export,88850000.0
2018-01-01,Nova Scotia,Energy products,Export,4915500.0
2018-01-01,Nova Scotia,"Farm, fishing and intermediate food products",Export,753818400.0
2018-01-01,Nova Scotia,Forestry products and building and packaging materials,Export,429183100.0
2018-01-01,Nova Scotia,"Industrial machinery, equipment and parts",Export,84755000.0
2018-01-01,Nova Scotia,Metal and non-metallic mineral products,Export,106953300.0
2018-01-01,Nova Scotia,Metal ores and non-metallic minerals,Export,67748800.0
2018-01-01,Nova Scotia,Motor vehicles and parts,Export,1185761900.0
2018-01-01,Nova Scotia,Special transactions trade,Export,51282300.0
2018-01-01,Nunavut,Aircraft and other transportation equipment and parts,Export,0.0
2018-01-01,Nunavut,All sections,Export,766400.0
2018-01-01,Nunavut,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2018-01-01,Nunavut,Consumer goods,Export,401500.0
2018-01-01,Nunavut,Electronic and electrical equipment and parts,Export,4100.0
2018-01-01,Nunavut,Energy products,Export,0.0
2018-01-01,Nunavut,"Farm, fishing and intermediate food products",Export,125100.0
2018-01-01,Nunavut,Forestry products and building and packaging materials,Export,0.0
2018-01-01,Nunavut,"Industrial machinery, equipment and parts",Export,0.0
2018-01-01,Nunavut,Metal and non-metallic mineral products,Export,0.0
2018-01-01,Nunavut,Metal ores and non-metallic minerals,Export,0.0
2018-01-01,Nunavut,Motor vehicles and parts,Export,0.0
2018-01-01,Nunavut,Special transactions trade,Export,235700.0
2018-01-01,Ontario,Aircraft and other transportation equipment and parts,Export,2314646800.0
2018-01-01,Ontario,All sections,Export,158967765700.0
2018-01-01,Ontario,"Basic and industrial chemical, plastic and rubber products",Export,10704360700.0
2018-01-01,Ontario,Consumer goods,Export,22988022200.0
2018-01-01,Ontario,Electronic and electrical equipment and parts,Export,7197953900.0
2018-01-01,Ontario,Energy products,Export,2051662900.0
2018-01-01,Ontario,"Farm, fishing and intermediate food products",Export,3293346600.0
2018-01-01,Ontario,Forestry products and building and packaging materials,Export,9194799500.0
2018-01-01,Ontario,"Industrial machinery, equipment and parts",Export,13680368200.0
2018-01-01,Ontario,Metal and non-metallic mineral products,Export,16319753000.0
2018-01-01,Ontario,Metal ores and non-metallic minerals,Export,329924200.0
2018-01-01,Ontario,Motor vehicles and parts,Export,68355430300.0
2018-01-01,Ontario,Special transactions trade,Export,2537497100.0
2018-01-01,Prince Edward Island,Aircraft and other transportation equipment and parts,Export,283776000.0
2018-01-01,Prince Edward Island,All sections,Export,1076677100.0
2018-01-01,Prince Edward Island,"Basic and industrial chemical, plastic and rubber products",Export,8224200.000000001
2018-01-01,Prince Edward Island,Consumer goods,Export,420788100.0
2018-01-01,Prince Edward Island,Electronic and electrical equipment and parts,Export,7468900.0
2018-01-01,Prince Edward Island,Energy products,Export,0.0
2018-01-01,Prince Edward Island,"Farm, fishing and intermediate food products",Export,249580000.0
2018-01-01,Prince Edward Island,Forestry products and building and packaging materials,Export,26748000.0
2018-01-01,Prince Edward Island,"Industrial machinery, equipment and parts",Export,36147400.0
2018-01-01,Prince Edward Island,Metal and non-metallic mineral products,Export,2008700.0
2018-01-01,Prince Edward Island,Metal ores and non-metallic minerals,Export,3933800.0
2018-01-01,Prince Edward Island,Motor vehicles and parts,Export,8964800.0
2018-01-01,Prince Edward Island,Special transactions trade,Export,29037100.0
2018-01-01,Quebec,Aircraft and other transportation equipment and parts,Export,7671658200.0
2018-01-01,Quebec,All sections,Export,64296151300.0
2018-01-01,Quebec,"Basic and industrial chemical, plastic and rubber products",Export,4094620100.0
2018-01-01,Quebec,Consumer goods,Export,10504994200.0
2018-01-01,Quebec,Electronic and electrical equipment and parts,Export,3682116200.0
2018-01-01,Quebec,Energy products,Export,3230859600.0
2018-01-01,Quebec,"Farm, fishing and intermediate food products",Export,1534641800.0
2018-01-01,Quebec,Forestry products and building and packaging materials,Export,10131824900.0
2018-01-01,Quebec,"Industrial machinery, equipment and parts",Export,3816228000.0
2018-01-01,Quebec,Metal and non-metallic mineral products,Export,14354727200.0
2018-01-01,Quebec,Metal ores and non-metallic minerals,Export,506501200.0
2018-01-01,Quebec,Motor vehicles and parts,Export,3753430100.0
2018-01-01,Quebec,Special transactions trade,Export,1014549800.0
2018-01-01,Saskatchewan,Aircraft and other transportation equipment and parts,Export,2805100.0
2018-01-01,Saskatchewan,All sections,Export,16833559500.0
2018-01-01,Saskatchewan,"Basic and industrial chemical, plastic and rubber products",Export,208579700.0
2018-01-01,Saskatchewan,Consumer goods,Export,94017600.0
2018-01-01,Saskatchewan,Electronic and electrical equipment and parts,Export,100487900.0
2018-01-01,Saskatchewan,Energy products,Export,8175509200.0
2018-01-01,Saskatchewan,"Farm, fishing and intermediate food products",Export,3573619000.0
2018-01-01,Saskatchewan,Forestry products and building and packaging materials,Export,373556200.0
2018-01-01,Saskatchewan,"Industrial machinery, equipment and parts",Export,432542200.0
2018-01-01,Saskatchewan,Metal and non-metallic mineral products,Export,586399800.0
2018-01-01,Saskatchewan,Metal ores and non-metallic minerals,Export,3105374300.0
2018-01-01,Saskatchewan,Motor vehicles and parts,Export,106925700.0
2018-01-01,Saskatchewan,Special transactions trade,Export,73742900.0
2018-01-01,Yukon,Aircraft and other transportation equipment and parts,Export,0.0
2018-01-01,Yukon,All sections,Export,77531300.0
2018-01-01,Yukon,"Basic and industrial chemical, plastic and rubber products",Export,16100.000000000002
2018-01-01,Yukon,Consumer goods,Export,288300.0
2018-01-01,Yukon,Electronic and electrical equipment and parts,Export,1125200.0
2018-01-01,Yukon,Energy products,Export,231300.0
2018-01-01,Yukon,"Farm, fishing and intermediate food products",Export,4300.0
2018-01-01,Yukon,Forestry products and building and packaging materials,Export,1721200.0
2018-01-01,Yukon,"Industrial machinery, equipment and parts",Export,41800.0
2018-01-01,Yukon,Metal and non-metallic mineral products,Export,3941200.0
2018-01-01,Yukon,Metal ores and non-metallic minerals,Export,69982700.0
2018-01-01,Yukon,Motor vehicles and parts,Export,12300.0
2018-01-01,Yukon,Special transactions trade,Export,166800.0
2019-01-01,Alberta,Aircraft and other transportation equipment and parts,Export,352339200.0
2019-01-01,Alberta,All sections,Export,103523118600.0
2019-01-01,Alberta,"Basic and industrial chemical, plastic and rubber products",Export,6829596200.0
2019-01-01,Alberta,Consumer goods,Export,2674335500.0
2019-01-01,Alberta,Electronic and electrical equipment and parts,Export,695795800.0
2019-01-01,Alberta,Energy products,Export,83660763600.0
2019-01-01,Alberta,"Farm, fishing and intermediate food products",Export,2262846600.0
2019-01-01,Alberta,Forestry products and building and packaging materials,Export,2765881900.0
2019-01-01,Alberta,"Industrial machinery, equipment and parts",Export,2504758300.0
2019-01-01,Alberta,Metal and non-metallic mineral products,Export,582402000.0
2019-01-01,Alberta,Metal ores and non-metallic minerals,Export,253360200.0
2019-01-01,Alberta,Motor vehicles and parts,Export,475958600.0
2019-01-01,Alberta,Special transactions trade,Export,465080700.0
2019-01-01,British Columbia,Aircraft and other transportation equipment and parts,Export,358529200.0
2019-01-01,British Columbia,All sections,Export,21875221500.0
2019-01-01,British Columbia,"Basic and industrial chemical, plastic and rubber products",Export,619588200.0
2019-01-01,British Columbia,Consumer goods,Export,2706111800.0
2019-01-01,British Columbia,Electronic and electrical equipment and parts,Export,1075887500.0
2019-01-01,British Columbia,Energy products,Export,4794911100.0
2019-01-01,British Columbia,"Farm, fishing and intermediate food products",Export,1721136600.0
2019-01-01,British Columbia,Forestry products and building and packaging materials,Export,5965159200.0
2019-01-01,British Columbia,"Industrial machinery, equipment and parts",Export,1518634700.0
2019-01-01,British Columbia,Metal and non-metallic mineral products,Export,2239361000.0
2019-01-01,British Columbia,Metal ores and non-metallic minerals,Export,190013600.0
2019-01-01,British Columbia,Motor vehicles and parts,Export,379420500.0
2019-01-01,British Columbia,Special transactions trade,Export,306468200.0
2019-01-01,Canada,Aircraft and other transportation equipment and parts,Export,13323558900.0
2019-01-01,Canada,All sections,Export,405923347000.0
2019-01-01,Canada,"Basic and industrial chemical, plastic and rubber products",Export,27772546800.0
2019-01-01,Canada,Consumer goods,Export,45841343400.0
2019-01-01,Canada,Electronic and electrical equipment and parts,Export,13376139800.0
2019-01-01,Canada,Energy products,Export,112782618500.0
2019-01-01,Canada,"Farm, fishing and intermediate food products",Export,16999643700.0
2019-01-01,Canada,Forestry products and building and packaging materials,Export,30483592300.0
2019-01-01,Canada,"Industrial machinery, equipment and parts",Export,24180434800.0
2019-01-01,Canada,Metal and non-metallic mineral products,Export,33668629900.0
2019-01-01,Canada,Metal ores and non-metallic minerals,Export,4797980200.0
2019-01-01,Canada,Motor vehicles and parts,Export,77200582700.0
2019-01-01,Canada,Special transactions trade,Export,5496275800.0
2019-01-01,Manitoba,Aircraft and other transportation equipment and parts,Export,650499300.0
2019-01-01,Manitoba,All sections,Export,12094645700.0
2019-01-01,Manitoba,"Basic and industrial chemical, plastic and rubber products",Export,635676100.0
2019-01-01,Manitoba,Consumer goods,Export,3563109200.0
2019-01-01,Manitoba,Electronic and electrical equipment and parts,Export,268788200.0
2019-01-01,Manitoba,Energy products,Export,838841500.0
2019-01-01,Manitoba,"Farm, fishing and intermediate food products",Export,1924526100.0
2019-01-01,Manitoba,Forestry products and building and packaging materials,Export,542390200.0
2019-01-01,Manitoba,"Industrial machinery, equipment and parts",Export,1127537400.0
2019-01-01,Manitoba,Metal and non-metallic mineral products,Export,496215200.0
2019-01-01,Manitoba,Metal ores and non-metallic minerals,Export,91980700.0
2019-01-01,Manitoba,Motor vehicles and parts,Export,1204553300.0
2019-01-01,Manitoba,Special transactions trade,Export,750528500.0
2019-01-01,New Brunswick,Aircraft and other transportation equipment and parts,Export,36479500.0
2019-01-01,New Brunswick,All sections,Export,11549766500.0
2019-01-01,New Brunswick,"Basic and industrial chemical, plastic and rubber products",Export,4125574000.0
2019-01-01,New Brunswick,Consumer goods,Export,894168200.0
2019-01-01,New Brunswick,Electronic and electrical equipment and parts,Export,40232700.0
2019-01-01,New Brunswick,Energy products,Export,3108672000.0
2019-01-01,New Brunswick,"Farm, fishing and intermediate food products",Export,1275366900.0
2019-01-01,New Brunswick,Forestry products and building and packaging materials,Export,1527903600.0
2019-01-01,New Brunswick,"Industrial machinery, equipment and parts",Export,140194400.0
2019-01-01,New Brunswick,Metal and non-metallic mineral products,Export,207853200.0
2019-01-01,New Brunswick,Metal ores and non-metallic minerals,Export,74691200.0
2019-01-01,New Brunswick,Motor vehicles and parts,Export,49835000.0
2019-01-01,New Brunswick,Special transactions trade,Export,68795800.0
2019-01-01,Newfoundland and Labrador,Aircraft and other transportation equipment and parts,Export,5249100.0
2019-01-01,Newfoundland and Labrador,All sections,Export,8626148700.0
2019-01-01,Newfoundland and Labrador,"Basic and industrial chemical, plastic and rubber products",Export,575635000.0
2019-01-01,Newfoundland and Labrador,Consumer goods,Export,100742500.0
2019-01-01,Newfoundland and Labrador,Electronic and electrical equipment and parts,Export,8642100.0
2019-01-01,Newfoundland and Labrador,Energy products,Export,7205584300.0
2019-01-01,Newfoundland and Labrador,"Farm, fishing and intermediate food products",Export,408219300.0
2019-01-01,Newfoundland and Labrador,Forestry products and building and packaging materials,Export,92920400.0
2019-01-01,Newfoundland and Labrador,"Industrial machinery, equipment and parts",Export,6641800.0
2019-01-01,Newfoundland and Labrador,Metal and non-metallic mineral products,Export,165533200.0
2019-01-01,Newfoundland and Labrador,Metal ores and non-metallic minerals,Export,10854700.0
2019-01-01,Newfoundland and Labrador,Motor vehicles and parts,Export,2933400.0
2019-01-01,Newfoundland and Labrador,Special transactions trade,Export,43192900.0
2019-01-01,Northwest Territories,Aircraft and other transportation equipment and parts,Export,0.0
2019-01-01,Northwest Territories,All sections,Export,1856400.0
2019-01-01,Northwest Territories,"Basic and industrial chemical, plastic and rubber products",Export,6400.0
2019-01-01,Northwest Territories,Consumer goods,Export,689000.0
2019-01-01,Northwest Territories,Electronic and electrical equipment and parts,Export,29500.0
2019-01-01,Northwest Territories,Energy products,Export,0.0
2019-01-01,Northwest Territories,"Farm, fishing and intermediate food products",Export,0.0
2019-01-01,Northwest Territories,Forestry products and building and packaging materials,Export,29400.0
2019-01-01,Northwest Territories,"Industrial machinery, equipment and parts",Export,56000.0
2019-01-01,Northwest Territories,Metal and non-metallic mineral products,Export,771400.0
2019-01-01,Northwest Territories,Metal ores and non-metallic minerals,Export,31500.0
2019-01-01,Northwest Territories,Motor vehicles and parts,Export,0.0
2019-01-01,Northwest Territories,Special transactions trade,Export,243200.0
2019-01-01,Nova Scotia,Aircraft and other transportation equipment and parts,Export,49323900.0
2019-01-01,Nova Scotia,All sections,Export,3762961500.0
2019-01-01,Nova Scotia,"Basic and industrial chemical, plastic and rubber products",Export,259253600.0
2019-01-01,Nova Scotia,Consumer goods,Export,542777400.0
2019-01-01,Nova Scotia,Electronic and electrical equipment and parts,Export,96715500.0
2019-01-01,Nova Scotia,Energy products,Export,6033000.0
2019-01-01,Nova Scotia,"Farm, fishing and intermediate food products",Export,800890100.0
2019-01-01,Nova Scotia,Forestry products and building and packaging materials,Export,429998900.0
2019-01-01,Nova Scotia,"Industrial machinery, equipment and parts",Export,86129500.0
2019-01-01,Nova Scotia,Metal and non-metallic mineral products,Export,92413400.0
2019-01-01,Nova Scotia,Metal ores and non-metallic minerals,Export,92846200.0
2019-01-01,Nova Scotia,Motor vehicles and parts,Export,1254014000.0
2019-01-01,Nova Scotia,Special transactions trade,Export,52565800.0
2019-01-01,Nunavut,Aircraft and other transportation equipment and parts,Export,0.0
2019-01-01,Nunavut,All sections,Export,484500.0
2019-01-01,Nunavut,"Basic and industrial chemical, plastic and rubber products",Export,0.0
2019-01-01,Nunavut,Consumer goods,Export,233400.0
2019-01-01,Nunavut,Electronic and electrical equipment and parts,Export,0.0
2019-01-01,Nunavut,Energy products,Export,0.0
2019-01-01,Nunavut,"Farm, fishing and intermediate food products",Export,5000.0
2019-01-01,Nunavut,Forestry products and building and packaging materials,Export,0.0
2019-01-01,Nunavut,"Industrial machinery, equipment and parts",Export,0.0
2019-01-01,Nunavut,Metal and non-metallic mineral products,Export,3000.0
2019-01-01,Nunavut,Metal ores and non-metallic minerals,Export,0.0
2019-01-01,Nunavut,Motor vehicles and parts,Export,0.0
2019-01-01,Nunavut,Special transactions trade,Export,243000.0
2019-01-01,Ontario,Aircraft and other transportation equipment and parts,Export,2863451900.0
2019-01-01,Ontario,All sections,Export,161966548400.0
2019-01-01,Ontario,"Basic and industrial chemical, plastic and rubber products",Export,10413453200.0
2019-01-01,Ontario,Consumer goods,Export,23835678700.0
2019-01-01,Ontario,Electronic and electrical equipment and parts,Export,7108287200.0
2019-01-01,Ontario,Energy products,Export,2274398400.0
2019-01-01,Ontario,"Farm, fishing and intermediate food products",Export,3600303500.0
2019-01-01,Ontario,Forestry products and building and packaging materials,Export,9017799100.0
2019-01-01,Ontario,"Industrial machinery, equipment and parts",Export,13979824800.0
2019-01-01,Ontario,Metal and non-metallic mineral products,Export,16483635200.0
2019-01-01,Ontario,Metal ores and non-metallic minerals,Export,336651700.0
2019-01-01,Ontario,Motor vehicles and parts,Export,69453411900.0
2019-01-01,Ontario,Special transactions trade,Export,2599652600.0
2019-01-01,Prince Edward Island,Aircraft and other transportation equipment and parts,Export,177980700.0
2019-01-01,Prince Edward Island,All sections,Export,1107537800.0
2019-01-01,Prince Edward Island,"Basic and industrial chemical, plastic and rubber products",Export,13333200.0
2019-01-01,Prince Edward Island,Consumer goods,Export,457133800.0
2019-01-01,Prince Edward Island,Electronic and electrical equipment and parts,Export,12689900.0
2019-01-01,Prince Edward Island,Energy products,Export,0.0
2019-01-01,Prince Edward Island,"Farm, fishing and intermediate food products",Export,260092700.0
2019-01-01,Prince Edward Island,Forestry products and building and packaging materials,Export,26856900.0
2019-01-01,Prince Edward Island,"Industrial machinery, equipment and parts",Export,27785900.0
2019-01-01,Prince Edward Island,Metal and non-metallic mineral products,Export,2508100.0
2019-01-01,Prince Edward Island,Metal ores and non-metallic minerals,Export,3383200.0
2019-01-01,Prince Edward Island,Motor vehicles and parts,Export,10073000.0
2019-01-01,Prince Edward Island,Special transactions trade,Export,115700500.0
2019-01-01,Quebec,Aircraft and other transportation equipment and parts,Export,8819893200.0
2019-01-01,Quebec,All sections,Export,65334961600.0
2019-01-01,Quebec,"Basic and industrial chemical, plastic and rubber products",Export,4035935500.0
2019-01-01,Quebec,Consumer goods,Export,10961232500.0
2019-01-01,Quebec,Electronic and electrical equipment and parts,Export,3991200400.0
2019-01-01,Quebec,Energy products,Export,2994019300.0
2019-01-01,Quebec,"Farm, fishing and intermediate food products",Export,1553310000.0
2019-01-01,Quebec,Forestry products and building and packaging materials,Export,9823344000.0
2019-01-01,Quebec,"Industrial machinery, equipment and parts",Export,4320781400.0
2019-01-01,Quebec,Metal and non-metallic mineral products,Export,12982117900.0
2019-01-01,Quebec,Metal ores and non-metallic minerals,Export,578717100.0
2019-01-01,Quebec,Motor vehicles and parts,Export,4256179900.0000005
2019-01-01,Quebec,Special transactions trade,Export,1018230300.0
2019-01-01,Saskatchewan,Aircraft and other transportation equipment and parts,Export,9759500.0
2019-01-01,Saskatchewan,All sections,Export,16066864400.0
2019-01-01,Saskatchewan,"Basic and industrial chemical, plastic and rubber products",Export,264340300.0
2019-01-01,Saskatchewan,Consumer goods,Export,104783500.0
2019-01-01,Saskatchewan,Electronic and electrical equipment and parts,Export,77080600.0
2019-01-01,Saskatchewan,Energy products,Export,7899318500.0
2019-01-01,Saskatchewan,"Farm, fishing and intermediate food products",Export,3192762900.0
2019-01-01,Saskatchewan,Forestry products and building and packaging materials,Export,289802800.0
2019-01-01,Saskatchewan,"Industrial machinery, equipment and parts",Export,466929300.0
2019-01-01,Saskatchewan,Metal and non-metallic mineral products,Export,413450200.0
2019-01-01,Saskatchewan,Metal ores and non-metallic minerals,Export,3159032900.0
2019-01-01,Saskatchewan,Motor vehicles and parts,Export,114191900.0
2019-01-01,Saskatchewan,Special transactions trade,Export,75411900.0
2019-01-01,Yukon,Aircraft and other transportation equipment and parts,Export,53300.0
2019-01-01,Yukon,All sections,Export,13231600.0
2019-01-01,Yukon,"Basic and industrial chemical, plastic and rubber products",Export,155200.0
2019-01-01,Yukon,Consumer goods,Export,347800.0
2019-01-01,Yukon,Electronic and electrical equipment and parts,Export,790500.0
2019-01-01,Yukon,Energy products,Export,76800.0
2019-01-01,Yukon,"Farm, fishing and intermediate food products",Export,184100.0
2019-01-01,Yukon,Forestry products and building and packaging materials,Export,1505800.0
2019-01-01,Yukon,"Industrial machinery, equipment and parts",Export,1161200.0
2019-01-01,Yukon,Metal and non-metallic mineral products,Export,2366100.0
2019-01-01,Yukon,Metal ores and non-metallic minerals,Export,6417200.0
2019-01-01,Yukon,Motor vehicles and parts,Export,11100.0
2019-01-01,Yukon,Special transactions trade,Export,162400.0
2020-01-01,Alberta,Aircraft and other transportation equipment and parts,Export,375136100.0
2020-01-01,Alberta,All sections,Export,77543238300.0
2020-01-01,Alberta,"Basic and industrial chemical, plastic and rubber products",Export,5967580700.0
2020-01-01,Alberta,Consumer goods,Export,2804232500.0
2020-01-01,Alberta,Electronic and electrical equipment and parts,Export,557075800.0
2020-01-01,Alberta,Energy products,Export,58986185600.0
2020-01-01,Alberta,"Farm, fishing and intermediate food products",Export,2313927500.0
2020-01-01,Alberta,Forestry products and building and packaging materials,Export,3191552700.0
2020-01-01,Alberta,"Industrial machinery, equipment and parts",Export,1638261500.0
2020-01-01,Alberta,Metal and non-metallic mineral products,Export,814979300.0
2020-01-01,Alberta,Metal ores and non-metallic minerals,Export,189317200.0
2020-01-01,Alberta,Motor vehicles and parts,Export,348630800.0
2020-01-01,Alberta,Special transactions trade,Export,356358700.0
2020-01-01,British Columbia,Aircraft and other transportation equipment and parts,Export,265482200.0
2020-01-01,British Columbia,All sections,Export,21719763000.0
2020-01-01,British Columbia,"Basic and industrial chemical, plastic and rubber products",Export,548904600.0
2020-01-01,British Columbia,Consumer goods,Export,2734036000.0
2020-01-01,British Columbia,Electronic and electrical equipment and parts,Export,1110415800.0
2020-01-01,British Columbia,Energy products,Export,4111730600.0
2020-01-01,British Columbia,"Farm, fishing and intermediate food products",Export,1774393900.0
2020-01-01,British Columbia,Forestry products and building and packaging materials,Export,6995660400.0
2020-01-01,British Columbia,"Industrial machinery, equipment and parts",Export,1391754000.0
2020-01-01,British Columbia,Metal and non-metallic mineral products,Export,2025294600.0
2020-01-01,British Columbia,Metal ores and non-metallic minerals,Export,126792100.0
2020-01-01,British Columbia,Motor vehicles and parts,Export,350534700.0
2020-01-01,British Columbia,Special transactions trade,Export,284764000.0
2020-01-01,Canada,Aircraft and other transportation equipment and parts,Export,11036513100.0
2020-01-01,Canada,All sections,Export,346121792400.0
2020-01-01,Canada,"Basic and industrial chemical, plastic and rubber products",Export,24449192700.0
2020-01-01,Canada,Consumer goods,Export,46579830700.0
2020-01-01,Canada,Electronic and electrical equipment and parts,Export,11799174300.0
2020-01-01,Canada,Energy products,Export,79265003100.0
2020-01-01,Canada,"Farm, fishing and intermediate food products",Export,17270178400.0
2020-01-01,Canada,Forestry products and building and packaging materials,Export,32974516500.0
2020-01-01,Canada,"Industrial machinery, equipment and parts",Export,21488435600.0
2020-01-01,Canada,Metal and non-metallic mineral products,Export,33031981500.0
2020-01-01,Canada,Metal ores and non-metallic minerals,Export,4630697700.0
2020-01-01,Canada,Motor vehicles and parts,Export,58778102700.0
2020-01-01,Canada,Special transactions trade,Export,4818166300.0
2020-01-01,Manitoba,Aircraft and other transportation equipment and parts,Export,331283300.0
2020-01-01,Manitoba,All sections,Export,10997453800.0
2020-01-01,Manitoba,"Basic and industrial chemical, plastic and rubber products",Export,621187400.0
2020-01-01,Manitoba,Consumer goods,Export,3356886600.0
2020-01-01,Manitoba,Electronic and electrical equipment and parts,Export,239942700.0
2020-01-01,Manitoba,Energy products,Export,844740700.0
2020-01-01,Manitoba,"Farm, fishing and intermediate food products",Export,1963238000.0
2020-01-01,Manitoba,Forestry products and building and packaging materials,Export,624694200.0
2020-01-01,Manitoba,"Industrial machinery, equipment and parts",Export,1102205000.0
2020-01-01,Manitoba,Metal and non-metallic mineral products,Export,502000100.0
2020-01-01,Manitoba,Metal ores and non-metallic minerals,Export,118063000.0
2020-01-01,Manitoba,Motor vehicles and parts,Export,861495200.0
2020-01-01,Manitoba,Special transactions trade,Export,431717600.0
2020-01-01,New Brunswick,Aircraft and other transportation equipment and parts,Export,30681900.0
2020-01-01,New Brunswick,All sections,Export,9368572500.0
2020-01-01,New Brunswick,"Basic and industrial chemical, plastic and rubber products",Export,2837677400.0
2020-01-01,New Brunswick,Consumer goods,Export,701292900.0
2020-01-01,New Brunswick,Electronic and electrical equipment and parts,Export,44694300.0
2020-01-01,New Brunswick,Energy products,Export,2689162900.0
2020-01-01,New Brunswick,"Farm, fishing and intermediate food products",Export,1029381300.0
2020-01-01,New Brunswick,Forestry products and building and packaging materials,Export,1679217100.0
2020-01-01,New Brunswick,"Industrial machinery, equipment and parts",Export,114137900.0
2020-01-01,New Brunswick,Metal and non-metallic mineral products,Export,51167300.0
2020-01-01,New Brunswick,Metal ores and non-metallic minerals,Export,93311200.0
2020-01-01,New Brunswick,Motor vehicles and parts,Export,34727800.0
2020-01-01,New Brunswick,Special transactions trade,Export,63120500.0
2020-01-01,Newfoundland and Labrador,Aircraft and other transportation equipment and parts,Export,4188399.9999999995
2020-01-01,Newfoundland and Labrador,All sections,Export,4816540900.0
2020-01-01,Newfoundland and Labrador,"Basic and industrial chemical, plastic and rubber products",Export,116415500.0
2020-01-01,Newfoundland and Labrador,Consumer goods,Export,92512500.0
2020-01-01,Newfoundland and Labrador,Electronic and electrical equipment and parts,Export,5547600.0
2020-01-01,Newfoundland and Labrador,Energy products,Export,3799988700.0
2020-01-01,Newfoundland and Labrador,"Farm, fishing and intermediate food products",Export,444090500.0
2020-01-01,Newfoundland and Labrador,Forestry products and building and packaging materials,Export,68560200.0
2020-01-01,Newfoundland and Labrador,"Industrial machinery, equipment and parts",Export,2362200.0
2020-01-01,Newfoundland and Labrador,Metal and non-metallic mineral products,Export,210517500.0
2020-01-01,Newfoundland and Labrador,Metal ores and non-metallic minerals,Export,30829800.0
2020-01-01,Newfoundland and Labrador,Motor vehicles and parts,Export,1889000.0
2020-01-01,Newfoundland and Labrador,Special transactions trade,Export,39639000.0
2020-01-01,Northwest Territories,Aircraft and other transportation equipment and parts,Export,40900.0
2020-01-01,Northwest Territories,All sections,Export,765600.0
